⺁	{⺁} px
㥥	. xo
㥦	. xq
㥧	心頁 xy
㥨	心娃 xw
㥩	心者 xv
㥪	心娄 xl
㥫	忄日 xo
㥬	忄旁 xp
㥭	忄泰 xt
㥮	忄芻 xi
㥯	爫心 vx｜心𫜹 xx
㥰	心叟 xs
㥱	心匪 xf
㥲	心真 xv
㥳	忄原 xy
㥴	心虒 xs
㥵	. xh
㥶	. xs
㥷	. yq
㥸	民思 ms
㥹	心粉 xf
㥺	. xg
㥻	. xg
㥼	忄焉 xy
㥽	心責 xz
㥾	忄匿 xn
㥿	心敖 xa
㦀	心逢 xf
㦁	心連 xl
㦂	心常 xi
㦃	. xi
㦄	心麻 xm
㦅	心帶 xd
㦆	忄乎 xh
㦇	忄鹿 xl
㦈	忄盖 xg
㦉	心壹 xy
㦊	忄華 xh
㦋	心奢 xu
㦌	心毳 xc
㦍	. xe
㦎	忄畫 xh
㦏	. xs
㦐	忄貳 xe
㦑	心敢 xg
㦒	心詈 xl
㦓	忄然 xr
㦔	. xy
㦕	心隆 xl
㦖	心悶 xm
㦗	心禁 xj
㦘	心敫 xj
㦚	心辛 xx
㦛	心與 xy
㦜	. xh｜. xv
㦝	心貌 xm
㦞	心壽 xu
㦟	心里 xl
㦠	心對 xd
㦡	心樂 xl
㦢	心節 xj
㦣	心衛 xw
㦤	壹心 yx｜心欠 xq
㦥	心憲 xx
㦦	. xd
㦧	. xt
㦨	心闌 xl
㦩	忄隱 xy
㦪	心燮 xx
㦫	心贊 xz
㦬	忄羅 xl
㦭	心靈 xl
㦮	. ja
㦯	戈一 ga
㦰	戈从 gc
㦱	戈土 gt
㦲	. gw
㦳	. tg
㦴	戈各 gg
㦵	戈朱 gv
㦶	戈至 gv
㦷	戈甬 gy
㦸	戈卓 gv
㦹	. gy
㦺	. gi｜戈辱 gr
㦻	戈習 gx
㦼	戈舂 gi
㦽	. yh
㦾	户也 hy
㦿	户木 hm
㧀	户及 hj
㧁	户去 hq
㧂	户田 ht
㧃	扌丩 fj
㧄	扌凵 fk
㧅	扌刀 fd
㧆	扌巾 fj
㧇	. fm
㧈	扌弓 fg
㧉	扌气 fq
㧊	. fu
㧋	扌犬 fq
㧌	扌毛 fm
㧍	扌方 ff
㧎	扌牙 fy
㧏	扌冈 fg
㧐	扌双 fu
㧑	扌为 fw
㧒	扌穴 fx
㧓	扌瓜 fg
㧔	扌戊 fw
㧕	扌卯 fm
㧖	扌乙 fy
㧗	扌此 fc
㧘	手此 uc
㧙	扌必 fb
㧚	扌瓦 fw
㧛	. uv
㧜	扌匝 fz
㧝	手加 uj
㧞	扌友 fy
㧟	扌汇 fh
㧠	扌小 fx
㧡	扌亥 fh
㧢	扌因 fy
㧣	扌朱 fv
㧤	扌充 fi
㧥	扌先 fx
㧦	扌旬 fx
㧧	. fi
㧨	扌后 fh
㧩	扌巾 fj
㧪	扌危 fw
㧫	扌而 fe
㧬	手巩 ug
㧭	手邛 uq
㧮	扌臼 fj
㧯	扌老 fl
㧰	扌乐 fl
㧱	手合 uh
㧲	扌宋 fs
㧳	手扮 ub
㧴	扌我 fw
㧵	扌否 ff
㧶	扌身 fu
㧷	扌吞 ft
㧸	扌亨 fh
㧹	. fd
㧺	扌沓 fd
㧻	. fi
㧼	扌表 fb
㧽	扌固 fg
㧾	扌忽 fh
㧿	. fv
㨀	扌秉 fb
㨁	扌直 fv
㨂	扌東 fd
㨃	扌享 fx
㨄	扌周 fv
㨅	扌芮 fr
㨆	扌林 fl
㨇	手波 ub
㨈	. fq
㨉	. fh
㨊	. fr
㨋	扌者 fv
㨌	殳手 uu
㨍	手封 uf
㨎	. fr
㨏	扌炭 ft
㨐	扌保 fb
㨑	. fz
㨒	扌奎 fk
㨓	. fh
㨔	扌咸 fx
㨕	扌盈 fy
㨖	扌致 fv
㨗	. fj
㨘	扌省 fu
㨙	扌奚 fx
㨚	扌荀 fx
㨛	扌閃 fu
㨜	扌虔 fq
㨝	扌屑 fx
㨞	扌素 fs
㨟	扌豈 fq
㨠	扌冥 fm
㨡	. fh
㨢	扌能 fn
㨣	扌翁 fw
㨤	扌隹 fv
㨥	扌納 fn
㨦	. fv
㨧	扌畚 fb
㨨	扌留 fl
㨩	扌庭 ft
㨪	扌晃 fh
㨫	扌监 fj
㨬	扌袁 fy
㨭	扌扈 fh
㨮	扌兜 fd
㨯	扌郭 fg
㨰	扌衮 fg
㨱	扌言 fy
㨲	扌宋 fs
㨳	扌寄 fj
㨴	扌乾 fq
㨵	扌剪 fj
㨶	扌鳥 fn
㨷	扌堇 fj
㨸	扌密 fm
㨹	扌彗 fh
㨺	. fm
㨻	手斬 uv
㨼	手略 ul
㨽	扌副 ff
㨾	扌羕 fy
㨿	扌處 fi
㩀	. fi
㩁	. fq
㩂	. fd
㩃	扌寒 fh
㩄	扌崽 fz
㩅	扌田 ft
㩆	扌就 fj
㩇	扌畫 fh
㩈	扌窘 fj
㩉	. fh
㩊	. fu
㩋	扌肅 fs
㩌	扌費 ff
㩍	扌策 fc
㩎	. fy
㩏	扌黑 fh
㩐	扌等 fd
㩑	扌非 ff
㩒	扌禁 fj
㩓	毁手 hu
㩔	扌殿 fd
㩕	扌零 fl
㩖	. fj
㩗	. fx
㩘	扌義 fy
㩙	扌塞 fs
㩚	扌蒙 fm
㩛	扌團 ft
㩜	扌監 fj
㩝	扌豪 fh
㩞	扌榮 fr
㩟	扌寨 fv
㩠	. fb
㩡	扌磊 fl
㩢	扌蔑 fm
㩣	. fj
㩤	扌敷 ff
㩥	扌戈 fg｜扌韯 fx
㩦	扌冏 fj
㩧	扌暴 fb
㩨	扌慧 fh
㩩	扌潁 fy
㩪	扌䋶 fx｜扌頁 fy
㩫	扌質 fv
㩬	. fx
㩭	扌學 fx
㩮	. fj
㩯	扌繁 ff
㩰	扌木 fm
㩱	扌爵 fj
㩲	. fg
㩳	扌雙 fu
㩴	扌瞿 fq
㩵	扌獻 fx
㩶	. fm
㩷	. fj
㩸	扌彑 fj
㩹	扌疊 fd
㩺	比支 bv
㩻	支危 vw
㩼	支多 vd
㩽	支束 vu
㩾	支垂 vi
㩿	. wq
㪀	. wy
㪁	. wj
㪂	. wq
㪃	. wk
㪄	. wf
㪅	攴丙 pb｜丙攴 bp
㪆	. wd
㪇	. wx
㪈	. wg
㪉	. wh
㪊	. wj
㪋	. wh
㪌	. wy
㪍	. wb
㪎	. wj
㪏	. wb
㪐	. wl
㪑	. wy
㪒	. we
㪓	. wg
㪔	. wl
㪕	. wv
㪖	. wl
㪗	. wp
㪘	人攵 rw
㪙	. wg
㪚	. wx
㪛	. wu
㪜	. wd
㪝	. wj
㪞	. wm
㪟	. wo
㪠	. wj
㪡	. wh
㪢	. ws
㪣	. wg
㪤	. wb
㪥	. wc
㪦	. wy
㪧	. wh
㪨	. wu
㪩	. ws
㪪	. wz
㪫	. wr
㪬	. wv
㪭	. wl
㪮	. wl
㪯	文二 we
㪰	文米 wm
㪱	文奂 wh
㪴	斗元 dy
㪵	斗半 db
㪶	斗百 db
㪷	斗豆 dd
㪸	斗其 dq
㪹	斗婁 dl
㪺	. dj
㪻	. dl
㪼	斤可 jk
㪽	一昕 ax
㪾	斤各 jg
㪿	屮斤 cj｜斤屮 jc
㫀	斤昌 ji
㫁	. jy
㫂	斤庶 ju
㫃	方人 fr
㫄	. fe｜. fw
㫅	方亓 fq
㫆	方小 fx
㫉	方危 fw
㫊	方可 fk
㫋	方冉 fr
㫌	方正 fv
㫍	方攸 fy
㫎	方軍 fj
㫏	方要 fy
㫐	日匕 ob
㫑	日力 ol
㫒	日廾 oc
㫓	日乞 oq
㫔	日上 ou
㫕	日兀 ow
㫖	日上 ou
㫗	日子 oz
㫘	日不 ob
㫙	日夫 of
㫚	. ow｜勿曰 wo
㫛	日兄 ox
㫜	日旦 od
㫝	日氐 od
㫞	. ot
㫟	日口 ok
㫠	日半 ob
㫡	日冬 od
㫢	日去 oq
㫣	日电 od
㫤	. ou｜日永 oy
㫥	日名 om
㫦	. ro
㫧	日米 om
㫨	日安 oa
㫩	. oh
㫪	. fj
㫫	日亚 oy
㫬	日旬 ox
㫭	日寺 os
㫮	日此 oc
㫯	. iw
㫰	日良 ol
㫱	日赤 oi
㫲	日孛 ob
㫳	日辰 oi
㫴	日孝 ox
㫵	日非 of
㫶	日帚 ov
㫷	日其 oq
㫸	. oj
㫹	日所 os
㫺	日人 or
㫻	日侖 ol
㫼	日制 ov
㫽	日录 ol
㫾	日尚 ou
㫿	日隹 ov
㬁	日洽 oq
㬂	. oo
㬃	. od
㬄	日赤 oi
㬅	日方 of
㬆	. oh
㬇	日奂 oh
㬈	. ow
㬉	. or
㬊	日爰 oy
㬋	日侯 oh
㬌	. oj
㬍	. of
㬎	日灬 oh
㬏	日鬲 og
㬐	日晋 oj
㬑	日郭 og
㬒	日莽 om
㬓	日票 op
㬔	. ol
㬕	日祥 ox
㬖	日啓 oq
㬗	日然 or
㬘	日肅 os
㬙	日爲 ow
㬚	日攵 ow
㬛	. oh
㬜	日至 ov
㬝	日曾 oc
㬞	日曷 oh
㬟	勿曾 wc
㬠	日煞 ou
㬡	日零 ol
㬢	日義 oy
㬣	日對 od
㬤	日㬎 ox
㬥	日米 om
㬦	. oh｜. ov
㬧	日糸 os
㬨	日赫 oh
㬩	日慧 oh
㬪	. oa
㬫	日燕 oy
㬬	日瞿 oq
㬭	. oc｜日爵 oj
㬮	日難 on
㬯	日羸 ol
㬰	日人 or
㬱	. ou
㬲	更益 gy
㬳	月午 ow
㬴	月共 og
㬵	月交 oj
㬶	月告 og
㬷	月困 ok
㬸	月花 oh
㬹	月争 ov
㬺	月巾 oj
㬻	月荒 oh
㬼	有复 yf
㬽	. ok
㬾	月殳 ou
㬿	月敦 od
㭀	. ow
㭁	木乃 mn
㭂	木小 mx
㭃	木幺 my
㭄	. mx
㭅	木三 ms
㭇	木允 my
㭈	木夬 mg
㭉	木艹 mc
㭊	木片 mp
㭋	木丰 mf
㭌	木牛 mn
㭍	木七 mq
㭎	木冈 mg
㭏	木韦 mw
㭑	木未 mw
㭒	. mv
㭓	木弁 mb
㭔	木乎 mh
㭕	木去 mq
㭖	木代 md
㭗	木皿 mm
㭘	木合 mh
㭙	木寺 ms
㭚	木丿 mp
㭛	木丿 mp
㭜	木戎 mr
㭝	林九 lj
㭞	木劣 ml
㭟	木共 mg
㭠	木先 mx
㭡	木囟 mx
㭢	木刑 mx
㭣	木问 mw
㭤	木鸟 mn
㭥	木负 mf
㭦	木宅 mv
㭧	木舟 mv
㭨	木邪 mx
㭩	. ml
㭪	木甫 mf
㭫	木坐 mz
㭬	木豕 mu
㭭	木别 mb
㭮	. my
㭯	. mv
㭰	. cc
㭱	木匣 mx
㭲	木谷 mg｜. mk
㭳	木孝 mx
㭴	木坚 mj
㭶	木芳 mf
㭸	. md｜木兔 mt
㭹	木弦 mx
㭺	木奄 my
㭻	木尚 mu
㭼	. mt
㭽	木底 md
㭾	木屈 mq
㭿	木昂 ma
㮀	木函 mh
㮁	木肴 my
㮂	具木 jm｜木具 mj
㮃	木委 mw
㮄	. mp
㮅	木隹 mv
㮆	木羊 my
㮇	木忝 mt
㮈	木奈 mn
㮉	木侠 mx
㮊	. mm
㮋	木郁 my
㮌	木面 mm
㮍	木前 mq
㮎	木皿 mm
㮏	木柰 mn
㮐	木省 mu
㮑	. mi
㮒	. my
㮓	木恆 mh
㮔	木重 mv
㮕	. mr
㮖	木革 mg
㮗	木矜 mj
㮘	木攵 mw
㮙	. me
㮚	. mt
㮛	木是 mu
㮜	. mc
㮝	. mq
㮞	木咨 mz
㮟	木柘 mv
㮠	木荣 mr
㮡	木炬 mj
㮢	木侯 mh
㮣	木既 mj
㮤	木容 mr
㮥	木畚 mb
㮦	木索 ms
㮧	木烏 mw
㮨	. mc
㮩	木息 mx
㮪	. mq
㮫	木害 mh
㮬	木翁 mw
㮭	. mh
㮮	木挈 mq
㮯	. mh
㮰	. mp
㮱	木先 mx
㮲	木芻 mi
㮳	木朕 mv
㮴	木叟 ms
㮵	. md
㮶	木朔 mu
㮷	木旨 mv
㮸	木送 ms
㮹	木致 mv
㮺	. bl
㮻	木蚤 mz
㮼	木扇 mu
㮽	木般 mb
㮾	木朗 ml
㮿	木畢 mb
㯀	木旋 mx
㯁	木陪 mp
㯂	木帶 md
㯃	木氺 mu
㯄	. lv
㯅	木庳 mb
㯆	. mi
㯇	. mf
㯈	木速 ms
㯉	木乎 mh
㯊	木焉 my
㯋	. ym
㯌	木逐 mv
㯍	木將 mj
㯎	木木 mm
㯏	. mk
㯐	木隋 ms
㯒	木覓 mm
㯓	. mh
㯔	木毳 mc
㯕	木斯 ms
㯖	木心 mx
㯗	. mx
㯘	木款 mk
㯙	木攵 mw
㯚	木答 md
㯛	木壺 mh
㯜	木萃 mc
㯝	木路 ml
㯞	木絹 mj
㯟	林录 ll
㯠	木牽 mq
㯡	. qb
㯢	. ms
㯣	木棻 mf
㯤	來來 ll
㯥	東東 dd
㯦	. mj
㯧	木超 mi
㯨	木粟 ms
㯩	桑夷 sy
㯪	木零 ml
㯫	. mj
㯬	林建 lj
㯭	木虜 ml
㯮	木蜀 mu
㯯	木貝 mb｜. mg
㯰	木置 mv
㯱	十木 um｜木缶 mf
㯲	木禁 mj
㯳	木敬 mj
㯴	木蓉 mr
㯵	木董 md
㯶	. mz
㯷	木僕 mp
㯸	木盡 mj
㯹	標寸 bc
㯺	臣木 im｜木罒 ms
㯻	十木 um｜木豕 mu
㯼	木蓋 mg
㯽	木賓 mb
㯾	木遭 mz
㯿	. ml
㰀	木黎 ml
㰁	木磊 ml
㰂	木審 mu
㰃	木系 mx
㰄	木賤 mj
㰅	木適 mu
㰆	. ma
㰇	木戈 mg｜木韯 mx
㰈	林連 ll
㰉	木臻 mv
㰊	. mx
㰋	木頻 mp
㰌	木霍 mh
㰍	木龍 ml
㰎	. ms
㰏	木篙 mg
㰐	木隨 ms
㰑	. mr
㰒	木學 mx
㰓	. mx
㰔	木燮 mx
㰕	木羲 mx
㰖	. ml
㰗	木蹙 mc
㰘	木彝 my
㰙	木難 mn
㰚	木離 ml
㰛	木藥 my
㰜	木顛 md
㰝	欠巳 qs
㰞	欠山 qu
㰟	欠气 qq
㰠	欠亢 qk
㰡	欠介 qj
㰢	. qj
㰣	欠此 qc
㰤	欠可 qk
㰥	欠世 qu
㰦	去欠 qq
㰧	欠台 qt
㰨	欠只 qv
㰩	欠虫 qi
㰪	欠圭 qg
㰫	欠先 qx
㰬	欠旬 qx
㰭	欠夸 qk
㰮	欠辰 qi
㰯	欠豆 qd
㰰	欠夾 qj
㰱	欠臼 qj｜千欠 qq
㰲	欠或 qh
㰳	欠亞 qy
㰴	. qp
㰵	欠卒 qz
㰶	欠咎 qj
㰷	欠死 qs
㰸	. qj｜人欠 rq
㰹	欠咸 qx
㰺	欠叚 qj
㰻	. qv
㰼	. qq
㰽	. qy
㰾	. qb
㰿	欠奚 qx
㱀	欠芻 qi
㱁	欠祟 qs
㱂	欠康 qk
㱃	欠酉 qy
㱄	欠黑 qh
㱅	欠壹 qy
㱆	. qx
㱇	欠嗇 qs
㱈	欠禁 qj
㱉	欠業 qy
㱊	欠憂 qy
㱋	欠霍 qh
㱌	欠聶 qn
㱍	. ql
㱎	. qs｜. qt
㱏	. av
㱐	. ad
㱑	止夕 vx
㱒	止可 vk
㱓	止令 vl
㱔	夕此 xc｜此夕 cx
㱕	. vj
㱖	止卒 vz
㱗	止臭 vi
㱘	止厭 vy
㱙	. dk
㱚	歹月 do
㱛	歹歹 dd
㱜	歹卜 db
㱝	死力 sl
㱞	歹立 dl
㱟	歹皮 dp
㱠	歹古 dg
㱡	歹先 dx
㱢	歹良 dl
㱣	歹妥 dt
㱤	歹析 dx
㱥	. dl
㱦	歹奇 dq
㱧	歹宛 dw
㱨	歹定 dd
㱩	歹卖 dm
㱪	. dh
㱫	歹柬 dj
㱬	歹畏 dw
㱭	歹段 dd
㱮	歹贵 dg
㱯	歹豈 dq
㱰	歹宰 dz
㱱	歹鬼 dg
㱲	歹益 dy
㱳	歹莫 dm
㱴	歹責 dz
㱵	. dp
㱶	歹彭 dp
㱷	歹集 dj
㱸	. db
㱹	歹歷 dl
㱺	歹盧 dl
㱻	歹羸 dl
㱼	殳巳 us
㱽	. uy
㱾	殳亥 uh
㱿	. uq｜. uu
㲀	殳辰 ui
㲁	殳空 uk
㲂	殳尚 uu
㲃	卜殳 bu｜殳匕 ub
㲄	殳王 uw｜王殳 wu
㲅	殳害 uh
㲆	. kl
㲇	声冬 ud
㲈	. kv
㲉	殳卵 ul｜卵殳 lu
㲊	睿殳 ru｜殳睿 ur
㲋	. db
㲌	毛乃 mn
㲍	毛支 mv
㲎	毛毛 mm
㲏	毛片 mp
㲐	毛今 mj
㲑	毛水 mu
㲒	毛句 mj
㲓	毛戍 mu
㲔	毛辛 mx
㲕	. ml
㲖	毛肖 mx
㲗	毛孚 mf
㲘	毛貝 mb
㲙	. mi
㲚	毛沙 mu
㲛	毛知 mv
㲜	毛炎 my
㲝	毛隹 mv
㲞	毛卒 mz
㲟	毛英 my
㲠	毛攵 mw
㲡	毛柰 mn
㲢	毛扁 mb
㲣	叟毛 sm
㲤	毛衰 mu
㲥	毛唐 mt
㲦	毛人 mr｜十毛 um
㲧	毛蚤 mz
㲨	毛茸 mr
㲩	. mt
㲪	毛登 md
㲫	. mp
㲬	毛焦 mj
㲭	毛焱 my
㲮	毛答 md
㲯	毛監 mj
㲰	毛寧 mn
㲱	. ml
㲲	毛疊 md
㲳	氐失 du
㲴	气中 qv
㲵	气肖 qx
㲶	. ql
㲷	气單 qd
㲸	氵乙 dy
㲹	氵几 dj
㲺	氵七 dq
㲻	水亻 ur
㲼	. da
㲽	氵刃 dr
㲾	水宀 ub
㲿	. dy
㳀	氵戈 dg
㳁	氵仄 dz
㳂	氵公 dg
㳃	. dc
㳄	氵欠 dq
㳅	氵不 db
㳆	氵斗 dd
㳇	氵父 df
㳈	. dp
㳉	氵月 do
㳊	氵攵 dw
㳋	氵丘 dq
㳌	氵甲 dj
㳍	氵布 db
㳎	氵弁 db
㳏	氵史 du
㳐	氵札 dv
㳑	氵皿 dm
㳒	. dq
㳓	氵右 dy
㳔	氵对 dd
㳕	氵兰 dl
㳖	氵衣 dy
㳗	氵土 dt
㳘	氵充 di
㳙	. dy
㳚	氵戍 du
㳛	氵臾 dy
㳜	氵休 dx
㳝	氵任 dr
㳞	氵仲 dv
㳟	水共 ug
㳠	氵达 dd
㳡	氵过 dg
㳢	氵乔 dq
㳣	氵老 dl
㳤	氵丶 dd
㳥	氵弄 dn
㳦	氵戒 dj
㳧	. dv
㳨	. dy
㳩	江丹 jd
㳪	氵否 df
㳫	水臼 uj
㳬	氵疋 dp
㳭	氵呆 dd
㳮	氵尿 dn
㳯	氵辛 dx
㳰	氵弃 dq
㳱	氵阳 dy
㳲	氵汰 dt
㳳	氵克 dk
㳴	. dm
㳵	氵季 dj
㳶	氵乳 dr
㳷	. dh
㳸	氵花 dh
㳹	氵枉 dw
㳺	氵子 dz
㳻	氵昔 dx
㳼	水或 uh
㳽	氵弥 dm
㳾	氵羌 dq
㳿	氵木 dm
㴀	氵乏 df
㴁	氵井 dj
㴂	江冉 jr
㴃	. du
㴄	. dj｜. dy
㴅	. uj
㴆	氵帚 dv
㴇	水水 uu
㴈	氵岳 dy
㴉	. dj
㴊	氵刂 dd
㴋	氵肃 ds
㴌	氵姑 dg
㴎	氵奈 dn
㴏	氵王 dw
㴐	氵眄 dm
㴑	. di
㴒	氵弈 dy
㴓	氵思 ds
㴔	氵急 dj
㴕	氵禾 dh
㴖	氵革 dg
㴗	氵要 dy
㴘	氵冒 dm
㴙	. di
㴚	. ds
㴛	氵致 dv
㴜	氵扁 db
㴝	. lt
㴞	氵臼 dj
㴟	氵厚 dh
㴠	. dk
㴢	氵仲 dv
㴣	氵夷 dy
㴤	氵柱 dv
㴥	氵峭 dq
㴦	氵宫 dg
㴧	氵息 dx
㴨	氵朕 dv
㴩	氵邕 dy
㴪	. dg
㴫	氵郡 dj
㴬	氵射 du
㴭	氵窅 dy
㴮	氵屑 dx
㴯	氵脂 dv
㴰	氵能 dn
㴱	. dd
㴲	氵虒 ds
㴳	氵尨 dm
㴴	氵火 dh
㴵	氵皿 dm
㴶	氵隺 dh
㴷	氵耽 dd
㴸	氵閃 du
㴹	氵迷 dm
㴺	氵浹 dj
㴻	氵寸 dc
㴼	氵宿 ds
㴽	氵悉 dx
㴾	. db
㴿	氵頂 dd
㵀	氵族 dz
㵁	. di
㵂	氵庶 du
㵃	氵蛇 du
㵄	. dt｜氵吴 dw
㵅	氵貪 dt
㵆	. dh
㵇	氵甜 dt
㵈	氵姑 dg
㵉	氵淋 dl
㵊	氵最 dz
㵋	氵買 dm
㵌	氵循 dx
㵍	氵悶 dm
㵎	氵閒 dx
㵏	氵萃 dc
㵐	氵厥 dj
㵑	氵賀 dh
㵒	氵費 df
㵓	氵是 du
㵔	氵奢 du
㵕	. dc
㵖	氵絮 dx
㵗	水馮 uf
㵘	水水 uu
㵙	氵喜 dx
㵚	氵金 dj
㵜	氵南 dn
㵝	氵裔 dy
㵞	氵愁 di
㵟	氵微 dw
㵠	氵窟 dk
㵡	氵雹 db
㵢	氵雷 dl
㵣	氵歇 dx
㵤	氵夾 dj
㵥	氵皿 dm
㵦	. ds
㵧	氵葛 dg
㵨	. ub
㵩	氵葉 dy
㵪	氵羡 dx｜. dy
㵫	. dn
㵬	氵盈 dy
㵭	氵煮 dv
㵮	. de
㵯	氵鳳 df
㵰	氵與 dy
㵱	漂寸 pc
㵲	氵舞 dw
㵳	氵寥 dl
㵴	氵臧 dz
㵵	氵聚 dj
㵶	氵截 dj
㵷	氵辛 dx
㵸	氵艹 dc
㵹	. dm
㵺	氵卑 db
㵻	. du
㵼	氵舄 dx
㵽	. dl
㵾	. dl
㵿	. dj
㶀	氵膠 dj
㶁	氵虢 dg
㶂	氵潢 dh
㶃	氵潕 dw
㶄	氵閻 dy
㶅	氵學 dx
㶆	氵諸 dv
㶇	氵横 dh
㶈	氵螢 dy
㶉	. dn
㶊	氵頁 dy
㶋	氵生 du
㶌	氵聯 dl
㶍	氵鮮 dx
㶎	氵還 dh
㶏	氵隱 dy
㶐	氵應 dy
㶑	. dl
㶒	氵闖 di
㶓	氵藏 dc
㶔	. db
㶕	氵簡 dj
㶖	. du
㶗	. fq
㶘	氵簟 dd
㶙	氵生 du
㶚	. db
㶛	氵與 dy
㶜	氵刂 dd
㶝	氵應 dy
㶞	氵曩 dn
㶟	. dl
㶠	氵驛 dy
㶡	几火 jh｜火几 hj
㶢	火九 hj
㶣	火干 hg
㶤	火夕 hx
㶥	火干 hg
㶦	火予 hy
㶧	火内 hn
㶨	. hb
㶩	. hg
㶪	火不 hb
㶫	大火 dh｜火丷 hb
㶬	火末 hm
㶭	火幼 hy
㶮	火丙 hb
㶯	火卯 hm
㶰	火甘 hg
㶲	火用 hy
㶳	火聿 hy｜聿火 yh
㶴	火多 hd
㶵	任灬 rh
㶶	火农 hn
㶷	火旬 hx
㶸	. hx
㶹	火汞 hg
㶺	火吞 ht
㶻	. hf
㶼	火矣 hy
㶽	火呙 hg
㶾	覀灭 xm
㶿	火孛 hb
㷀	火十 hu
㷂	. hq
㷃	火長 hi
㷄	火果 hg
㷅	火取 hq
㷆	. hb
㷇	多灰 dh
㷈	火奄 hy
㷉	. ch
㷊	林灬 lh
㷋	火炎 hy
㷌	. hj
㷍	火侖 hl
㷎	火曷 hh
㷏	火午 hw｜禾火 hh
㷐	火土 ht
㷑	火土 ht
㷒	. ho
㷓	. hc
㷔	火臼 hj
㷕	火酋 hq
㷖	. gv
㷗	火巳 hs
㷘	火枲 hx
㷙	火前 hq
㷚	火亭 ht
㷛	保灬 bh
㷜	火奕 hy
㷞	火厚 hh
㷟	火追 hv
㷠	炎舛 yi
㷡	火巨 hj
㷢	火差 hi
㷣	火牛 hn
㷤	殳火 uh｜火殳 hu
㷥	炎丞 yi
㷦	耿灬 gh
㷧	火原 hy
㷨	火峯 hf
㷩	. hx
㷪	火隽 hj
㷫	. hk
㷬	火莫 hm
㷭	火逢 hf
㷮	火曹 hc
㷯	火奉 hf
㷰	. hi
㷱	. hq
㷲	火動 hd
㷳	火雁 hy
㷴	. hl
㷵	火黑 hh
㷶	備灬 bh
㷷	. hs
㷸	火𬀽 ha
㷹	火䓬 hv
㷺	火攵 hw
㷻	火無 hw
㷼	. hc
㷽	火善 hu
㷾	. hj
㷿	. hj
㸀	. hi
㸁	火業 hy
㸂	火遂 hs
㸃	黑占 hv
㸄	火齊 hq
㸅	火節 hj
㸆	火靠 hk
㸇	. hz
㸈	火隹 hv
㸉	火火 hh
㸊	火賴 hl
㸋	炙番 vf
㸌	火霍 hh
㸍	火戲 hx
㸎	火聶 hn
㸏	火靡 hm
㸐	難灬 nh
㸑	. xf
㸒	爫壬 vr
㸓	爫日 vo
㸔	. oh
㸕	. vv
㸖	父且 fq
㸗	父同 ft
㸘	. ft
㸙	父者 fv
㸚	. xx
㸛	爿召 pv
㸜	爿空 pk
㸝	片欠 pq
㸞	片片 pp
㸟	片旨 pv
㸠	片兆 pv
㸡	片朱 pv
㸢	片用 py
㸣	片業 py
㸤	片辛 px
㸥	. pi
㸦	. ad
㸧	牙艮 yg
㸨	牛丩 nj
㸩	牛干 ng
㸪	牛川 ni
㸫	牛斤 nj
㸬	. nu
㸭	牛巴 nb
㸮	牛分 nf
㸯	牛斗 nd
㸰	牛它 nt
㸱	. nt
㸲	牛乍 nv
㸳	牛令 nl
㸵	牛吉 nj
㸶	牛因 ny
㸷	. nq
㸸	牛后 nh
㸹	. nl
㸺	牛沙 nu
㸻	牛矣 ny
㸼	牛丰 nf
㸽	牛貝 nb
㸾	牛忍 nr
㸿	. nm
㹀	牛孛 nb
㹁	牛京 nj
㹂	. nq
㹃	牛非 nf
㹄	. nc
㹅	. nc
㹆	牛軍 nj
㹇	牛曷 nh
㹈	牛攵 nw
㹉	牛原 ny
㹊	牛隺 nh
㹋	牛修 nx
㹌	. ni
㹍	. nd
㹎	牛累 nl
㹏	牛堇 nj
㹐	牛從 nc
㹑	牛貳 ne
㹒	. np
㹓	牛堯 ny
㹔	. nj
㹕	牛頑 nw
㹖	牛豢 nh
㹗	牛壽 nu
㹘	牛需 nx
㹙	. ny
㹚	牛營 ny
㹛	. nn
㹜	犬犬 qq
㹝	犭氏 qu
㹞	犭斤 qj
㹟	犭夬 qg
㹠	犭屯 qt
㹡	犭玄 qx
㹢	犭加 qj
㹣	犭冬 qd
㹤	犭去 qq
㹥	犭主 qv
㹦	犭召 qv
㹧	犭央 qy
㹨	犭由 qy
㹩	犭圣 qu
㹪	犭册 qc
㹫	犭夷 qy
㹬	犭吏 ql
㹭	犭曳 qy
㹮	犭百 qb
㹯	犭休 qx
㹱	犭足 qz
㹲	犭孝 qx
㹳	犭吾 qw
㹴	犭更 qg
㹵	. qj
㹶	犭廷 qt
㹷	犬希 qx
㹸	. qm
㹹	犭庚 qg
㹺	. qt
㹻	犭委 qw
㹼	. qj
㹽	犭戔 qj
㹾	犭咎 qj
㹿	犭卓 qv
㺀	犭忽 qh
㺁	. qn
㺂	犭咸 qx
㺃	犭苟 qg
㺄	犭俞 qy
㺅	. qh
㺆	犭贝 qb
㺇	犭犬 qq
㺈	犭蚩 qi
㺉	殳犬 uq｜犬殳 qu
㺊	犭恙 qy
㺋	犭翁 qw
㺌	犭兼 qj
㺍	犭宾 qb
㺎	犭庸 qy
㺏	犭婁 ql
㺐	犭巢 qi
㺑	犭參 qc
㺒	. ql
㺓	犭責 qz
㺔	犭爲 qw
㺕	犭番 qf
㺖	犭敢 qg
㺗	犭單 qd
