⺁	{⺁} px
㢰	弓皮 gp
㢲	弓八 gb
㢳	弓丿 gp
㢴	弓丶 gd
㢵	弓合 gh
㢶	弓百 gb
㢷	弓岁 gs
㢸	弓攵 gw
㢹	弓辛 gx
㢺	弓妾 gq
㢻	弓委 gw
㢼	. gb
㢽	弓弭 gm
㢾	. gy
㢿	弓侯 gh
㣀	弓真 gv
㣁	弓用 gy
㣂	弓鬲 gg
㣃	. gg
㣄	弓渠 gq
㣅	. gc
㣆	弓王 gw
㣇	彑巾 jj｜. jx
㣈	. yy
㣉	彡工 pg
㣊	攵彡 wp
㣋	彡丶 pd
㣌	彡占 pv
㣍	彡台 pt
㣎	. pb
㣏	. pd
㣐	彡泉 pq
㣑	彡庸 py
㣒	彡曾 pc
㣓	彡粲 pc
㣔	彳丁 xd
㣕	彳大 xd
㣖	彳太 xt
㣗	彳户 xh
㣘	彳句 xj
㣙	彳由 xy
㣚	彳同 xt
㣛	彳合 xh
㣜	彳刑 xx
㣝	彳戎 xr
㣞	. xd
㣟	彳吉 xj
㣠	彳冬 xd
㣡	彳仲 xv
㣢	彳弟 xd
㣣	. xu
㣤	彳戔 xj
㣥	彳侍 xu
㣦	彳委 xw
㣧	彳乚 xg
㣨	彳姑 xg
㣩	彳林 xl
㣪	彳爰 xy
㣫	彳重 xv
㣬	. xj
㣭	. xz
㣮	彳南 xn
㣯	彳屑 xx
㣰	彳悉 xx
㣱	彳責 xz
㣲	彳攵 xw
㣳	彳無 xw
㣴	彳黄 xh
㣵	彳達 xd
㣶	彳亶 xd
㣷	彳寧 xn
㣸	. ru
㣹	. ry
㣺	忄丶 xd
㣻	. xa
㣼	心刃 xr
㣽	心女 xn
㣾	心叉 xi
㣿	心勺 xu
㤀	. xa
㤁	心天 xt
㤂	心及 xj
㤃	忄方 xf
㤄	. xu
㤅	心{无} xw
㤆	心反 xf
㤇	心夭 xy
㤈	忄心 xx
㤉	忄牙 xy
㤊	. xx
㤋	忄分 xf
㤌	心甘 xg
㤍	心巧 xq
㤎	心加 xj
㤏	心冬 xd
㤐	心占 xv
㤑	心右 xy
㤒	. xb
㤓	忄本 xb
㤔	忄付 xf
㤕	心出 xi
㤖	. xv
㤗	. xf
㤘	心刍 xi
㤙	. xk
㤚	忄行 xx
㤛	心任 xr
㤜	心戍 xu
㤝	忄充 xi
㤞	忄宅 xv
